1.95,"[2.06 2.06 2.06 2.06 2.06 2.06 2.06 2.06 2.06 2.06 2.06 2.06 2.06 2.05
 2.05 2.05 2.05 2.05 2.05 2.05 2.05 2.05 2.05]"
6.21,"[6.44 6.44 6.36 6.36 6.38 6.36 6.36 6.36 6.36 6.36 6.36 6.36 6.36 6.38
 6.38 6.38 6.38 6.38 6.38 6.36 6.36 6.36 6.36]"
0.89,"[0.97 0.97 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.98 0.97
 0.97 0.97 0.97 0.97 0.97 0.98 0.98 0.98 0.98]"
0.48,"[0.5  0.5  0.5  0.5  0.42 0.5  0.5  0.5  0.42 0.42 0.42 0.42 0.42 0.58
 0.5  0.5  0.5  0.5  0.5  0.58 0.5  0.5  0.5 ]"
