1.91,"[2.   2.   2.   1.99 1.99 1.99 1.99 1.99 1.99 1.99 1.99 1.99 1.99 1.99
 1.99 1.99 1.99 1.99 1.99 1.99 1.99 1.99 1.99]"
6.15,"[6.48 6.39 6.45 6.52 6.43 6.41 6.66 6.43 6.43 6.34 6.34 6.34 6.34 6.43
 6.34 6.34 6.34 6.3  6.34 6.34 6.34 6.34 6.43]"
0.87,"[0.93 0.95 0.93 0.91 0.93 0.94 0.87 0.93 0.93 0.95 0.95 0.95 0.95 0.93
 0.95 0.95 0.95 0.96 0.95 0.95 0.95 0.95 0.93]"
1.88,"[1.88 1.88 1.88 1.88 1.88 1.88 1.88 1.88 1.88 1.88 1.88 1.88 1.88 1.88
 1.88 1.88 1.88 1.88 1.88 1.88 1.88 1.88 1.88]"
